Program Date 	Film Title 	Director 	Year
  	Man About Town 	Jeske, George 	1923
  	Mickey's Gala Premiere 	Gillett, Burt 	1933
  	The Music Box 	Parrott, James 	1932
  	Oranges and Lemons 	Jeske, George 	1923
  	Playmates 	Chase, Charlie 	1917
  	Them Thar Hills 	Rogers, Charles 	1934
1/28/58 	The Chronicle of the Grey House [Zur Chronik von Grieshuus] 	von Gerlach, Arthur 	1925
  	Napoleon 	Gance, Abel 	1927
  	Sappy Service 	Baker, Eddie 	1929
2/18/58 	Flames 	Brown, Karl 	1932
  	The Great Gabbo 	Cruze, James 	1929
  	His Double Life 	Hopkins, Arthur 	1933
  	Indiscreet 	McCarey, Leo 	1931
  	Lasca of the Rio Grande 	  	1929
  	Law of the Sea 	Brower, Otto 	1932
  	The Medicine Man 	Pembroke, Scott 	1930
  	Mr. Robinson Crusoe 	Sutherland, Edward 	1932
  	Peacock Alley 	De Sano, Marcel 	1929
  	Phantom in the House 	Rosen, Phil 	1929
  	The Sea Ghost 	Nigh, William 	1931
  	The Temperance Lecture 	  	1929
  	To the Last Man 	Hathaway, Henry 	1933
  	When the Talkies Were Young 	Youngson, Robert 	1955
  	William S. Hart introduces Tumbleweeds 	Hart, William S. 	1939
2/27/58 	The Kentucky Derby 	Baggott, King 	1922
  	The Lost World 	Hoyt, Harry 	1925
3/18/58 	Don Q, Son of Zorro 	Crisp, Donald 	1925
  	Thicker Than Water 	Horne, James W. 	1935
3/25/58 	Brass 	Franklin, Sidney 	1923
  	Eastman House 	  	 
  	Men of the West 	Staub, Ralph 	1953
  	A Mender of Nets 	Griffith, D.W. 	1912
  	The Sheriff's Streak of Yellow 	Hart, William S. 	1915
4/15/58 	The Gangsters and the Girl 	Scott, Sidney 	1914
  	The Gilded Cage 	Knoles, Harley 	1916
  	Sweet Adeline 	Storm, Jerome 	1925
4/24/58 	City Lights 	Chaplin, Charlie 	1931
  	Don't Park There! 	Guiol, Fred 	1924
  	The Haunted House 	Keaton, Buster 	1921
  	Montie of the Mounted 	Lamont, Charles 	1927
  	A Natural Born Gambler 	Williams, Bert 	1916
  	Never Weaken 	Newmeyer, Fred 	1921
  	A Pair of Tights 	Yates, Hal 	1928
  	The Rat's Knuckles 	Newmeyer, Fred 	1924
  	So You Want A Model Railroad? 	Bare, Richard 	1954
  	Tit for Tat 	Rogers, Charles 	1935
5/16/58 	All Wet 	McCarey, Leo 	1924
  	The Best Man 	Edwards, Harry 	1928
  	The Extra Girl 	Jones, F. Richard 	1923
  	Fallen Arches 	Meins, Gus 	1933
  	The Great Toe Mystery 	Avery, Charles 	1915
  	The Pilgrim 	Chaplin, Charlie 	1923
  	Their First Mistake 	Marshall, George 	1932
5/20/58 	The Painted Lady 	Griffith, D.W. 	1912
